"Fiscal Year","Case Number","Received in FOIA","Document Requested","Disposition","Denial Reason","source_doc_id","CaseNumber","Recv'd in FOIA","Recv'd in","FOIA Document Requested"
"2015","27.0","11/04/2014","Guidelines for the use of confidential informants in the use of criminal investigations.","Partial Grant","","25888799","","","",""
"2015","28.0","11/04/2014","All closing reports or memos of investigations, audits or reviews of agency micropurchase or purchase card usage for FY 2013 and","Total Grant","","25888799","","","",""
"2015","29.0","11/06/2014","(1) copies of specified 2010-2011 FOIA requests; (2) copies of specified 2009-2014 press releases; and (3) any report pertaining to a specified 2009-2010 incident involving a FAM during a Sea-Tac airport layover","","","25888799","","","",""
"2015","30.0","11/06/2014","records pertaining to self","","","25888799","","","",""
"2015","31.0","11/06/2014","records pertaining to self","Partial Grant Referrals","","25888799","","","",""
"2015","32.0","11/07/2014","Copy of the records released for, and the FOIA request for 2014-","Total Grant","","25888799","","","",""
"2015","33.0","11/12/2014","Records pertaining to the requester.","Not a Perfected Request","","25888799","","","",""
"2015","34.0","11/12/2014","Documents related to report number DD-13-11 titled, “FEMA Should Recover $46.2 Million of Improper Contracting Costs from Federal Funds Awarded to the Administrators of the Tulane Educational Fund, New Orleans, Louisiana.”","","","25888799","","","",""
"2015","35.0","11/12/2014","ROIs for 34 specified cases pertaining to USSS","","","25888799","","","",""
"2015","36.0","11/12/2014","Status of requester’s complaint.","Partial Grant","","25888799","","","",""
"2015","37.0","11/12/2014","All closing memos, photos and videos from closed travel card theft investigations in FYs 2012, 2013, and 2014.","","","25888799","","","",""
"2015","38.0","11/12/2014","ROIs for 34 specified cases pertaining to USSS","","","25888799","","","",""
"2015","39.0","11/12/2014","records pertaining to self","Partial Grant","","25888799","","","",""
"2015","40.0","11/12/2014","(1) The date and reason for an OIG employee’s reassignment from OIG INV, past and present job titles, grades, and salary; (2) Date and reason for terminating another OIG employee, title, grade and salary; (3) date and reason for three other employees’ personnel actions, past/present job titles, grades, and salary rates.","","","25888799","","","",""
"2015","41.0","11/13/2014","Records pertaining to self","","","25888799","","","",""
"2015","42.0","11/13/2014","Documents pertaining to self","Other Reason for Nondisclosure","No records","25888799","","","",""
"2015","43.0","11/14/2014","records pertaining to self","Partial Grant","","25888799","","","",""
"2015","44.0","11/18/2014","All records released for FOIA 2013-101.","Total Grant","","25888799","","","",""
"2015","45.0","11/19/2014","records pertaining to self","","","25888799","","","",""
"2015","46.0","11/19/2014","records pertaining to self","Partial Grant","","25888799","","","",""
"2015","47.0","11/21/2014","Records pertaining to self","Other Reason for Nondisclosure","No records","25888799","","","",""
"2015","48.0","12/01/2014","Records associated with OIG Audits OIG-15-01-D and OIG-DD-13-11","","","25888799","","","",""
"2015","49.0","12/03/2014","records pertaining to self","","","25888799","","","",""
"2015","50.0","12/03/2014","Records associated with various underlying investigations.","","","25888799","","","",""
"2015","51.0","12/04/2014","The general index of all records maintained by DHS OIG under as per 5 USC §552 (a)(2)(D).","Total Grant","","25888799","","","",""
"2015","52.0","12/08/2014","FOIA logs for CY 2014","Total Grant","","25888799","","","",""
"2015","53.0","12/09/2014","in summary: (1) overview of investigations in Laredo, Brownsville, and McAllen; (2) full ROIs for three specified investigations on CBP and ICE; and (3) records pertaining to third party","","","25888799","","","",""
"2015","54.0","12/10/2014","records pertaining to self","Partial Grant","","25888799","","","",""
"2015","55.0","12/11/2014","in summary: closed investigations involving pornography or misuse of government computers for 2011 through December 11, 2014","","","25888799","","","",""
"2015","56.0","12/11/2014","ROI pertaining to GTSI Corporation","","","25888799","","","",""
"2015","57.0","12/16/2014","The resume and application of person selected and number of interviews conducted for OIG Vacancy ID 1148986","","","25888799","","","",""
"2015","58.0","12/16/2014","Seeking records regarding declaration number: 1604-DR-MS; OIG Report 14-63-D; and Project Numbers 4916 and 4917","","","25888799","","","",""
"2015","59.0","12/16/2014","records pertaining to self","","","25888799","","","",""
"2015","60.0","12/16/2014","Records pertaining to the policies on handling allegations of misconduct involving CBP, and complaints against CBP.","","","25888799","","","",""
"2015","61.0","12/17/2014","Requested copy of any report relating to a third party.","Not a Perfected Request","No perjury statement","25888799","","","",""
"2015","62.0","12/17/2014","The full report on Information Handling and Sharing Prior to the April 15, 2013 Boston Marathon Bombings.","","","25888799","","","",""
"2015","63.0","12/23/2014","Records related to the use and gathering of foreign intelligence information.","","","25888799","","","",""
"2015","64.0","12/23/2014","Final reports, memos or other records related to the use of unauthorized monitoring of communications used by CBP.","","","25888799","","","",""
"2014","","","Overtime pay and performance awards records of individuals working for DHS-OIG’s Office of Information Technology Audits from 2010 to present","Partial Grant","","25888632","98.0","04/04/2014","",""
"2014","","","In summary, FY 2008 schedule of non-award of costs due to noncompliance with federal statutes relating to detainee transfer at San Pedro, CA Service Processing Center","No records","Other Reason for Nondisclosure","25888632","99.0","04/04/2014","",""
"2014","","","In summary, records pertaining to CBP use of force issues, including an unredacted copy of the September 12, 2013 OIG report titled ""CBP Use of Force Training and Actions to Address Use of Force Incidents""","","","25888632","100.0","04/08/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25888632","101.0","04/08/2014","",""
"2014","","","Records pertaining to client","Total Grant","","25888632","102.0","04/10/2014","",""
"2014","","","Records pertaining to self","Request withdrawn","Other Reason for Nondisclosure","25888632","103.0","04/11/2014","",""
"2014","","","FOIA requests pertaining to former Governor of Virginia","Total Grant","","25888632","104.0","04/15/2014","",""
"2014","","","Records concerning ghost detainee memoranda, DoD detainee reporting, reports to certain U.N. committees, and the draft Convention on Enforced Disappearance","Total Grant","","25888632","105.0","04/18/2014","",""
"2014","","","Records pertaining to self","","Specify other Nondisclosure","25888632","106.0","04/22/2014","",""
"2014","","","E-mails between three former high level DHS Officials from January 1, 2010, to December 31, 2013","","","25888632","107.0","04/28/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25888632","108.0","04/28/2014","",""
"2014","","","Records pertaining to self","No records","Other Reason for Nondisclosure","25888632","109.0","04/29/2014","",""
"2014","","","Statistical information on complaints pertaining to harm by unique means or communicative methods and any statistics of such investigations","No records","Other Reason for Nondisclosure","25888632","110.0","05/02/2014","",""
"2014","","","Complaints made against NuWare Technology Corp. for the time period covering 2009-2014","No records","Other Reason for Nondisclosure","25888632","111.0","05/07/2014","",""
"2014","","","All records associated with OIG case 13-FPS-SID-00215","Partial Grant","","25888632","112.0","05/08/2014","",""
"2014","","","All records pertaining to OIG case I07-TSA-SEA-04989","","","25888632","113.0","05/09/2014","",""
"2014","","","In summary, records pertaining to immigration detainers issued by DHS to another law enforcement entity in the state of Louisiana","No records","Other Reason for Nondisclosure","25888632","114.0","05/12/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25888632","115.0","05/19/2014","",""
"2014","","","Records pertaining to vacancy OG-2013-951518 and OG-2013-902376, as well as EDS records pertaining to self and third parties","","","25888632","116.0","05/23/2014","",""
"2014","","","Records pertaining to self","","","25888632","117.0","06/03/2014","",""
"2014","","","All exhibits listed in I13-FPS-SID-00215","","","25888632","118.0","06/03/2014","",""
"2014","","","Weekly Activity Reports produced by OIG for 2014 to date","","","25888632","119.0","06/06/2014","",""
"2014","","","In summary, information regarding DHS’ implementation of section 828 of the National Defense Authorization Act of 2013 (codified at 41 U.S.C. section 4712) which provides whistleblower protection to employees of contractors working for federal government agencies","","","25888632","120.0","06/10/2014","",""
"2014","","","Records pertaining to self","Total Denial","","25888632","121.0","06/10/2014","",""
"2014","","","Records pertaining to February 15, 2011 murder of ICE agent and injury to colleague","","","25888632","122.0","06/11/2014","",""
"2014","","","Records pertaining to third parties","","","25888632","123.0","06/12/2014","",""
"2014","","","Records pertaining to third party","","","25888632","124.0","06/12/2014","",""
"2014","","","FOIA logs for most recent 2 years","","","25888632","125.0","06/17/2014","",""
"2014","","","(1) FOIA logs for 2013 and 2014; (2) most recent semiannual report to Congress; (3) OIG report listing/index","","","25888632","126.0","06/17/2014","",""
"2014","","","All internal documents pertaining to alleged incident involving FPS personnel at a VA health care facility in the Mission Valley area of San Diego, CA on or about June 11, 2014","","","25888632","127.0","06/20/2014","",""
"2014","","","Records pertaining to self","","","25888632","128.0","06/24/2014","",""
"2014","","","Records pertaining to job announcement number OG-2014-1059804","","","25888632","129.0","06/24/2014","",""
"2014","","","Records pertaining to self","","","25888632","130.0","06/24/2014","",""
"2014","","","Records pertaining to self","","","25888632","131.0","06/24/2014","",""
"2014","","","Records pertaining to third party","","","25888632","132.0","06/30/2014","",""
"2014","","","Records pertaining to self","","","25888632","133.0","06/30/2014","",""
"2014","","","Records pertaining to self","","","25888632","134.0","06/30/2014","",""
"2014","","","List of investigations closed during calendar year 2013","","","25888632","135.0","06/30/2014","",""
"2014","136.0","","","Other Reason for Nondisclosure","Administratively Closed","25888495","","","07/02/2014","statistics on numbers of cases involving child pornography, child sexual abuse, and the amount of children involved for the past 17 years"
"2014","137.0","","","Partial Grant","","25888495","","","07/02/2014","records pertaining to client"
"2014","138.0","","","Other Reason for Nondisclosure","Administratively Closed","25888495","","","07/03/2014","number of complaints regarding ICE-HSI office in Boston, MA and/or third party within the past 2 years"
"2014","139.0","","","Partial Grant","","25888495","","","07/07/2014","investigation reports or other reviews by EPA-OIG focused on another government entity that were compiled between January 1, 2004 and the date on which the search is conducted"
"2014","140.0","","","Partial Grant","","25888495","","","07/07/2014","a copy of each EPA-OIG final report/closing memo/referral letter, etc. done for an agency other than EPA since January 1, 2005"
"2014","141.0","","","Total Grant","","25888495","","","07/11/2014","data on sexual assaults in ICE/ERO custody (including IGSAs) by FY from 2008 to 2013"
"2014","142.0","","","","","25888495","","","07/11/2014","listing of investigations closed since January 1, 2011 concerning USSS"
"2014","143.0","","","","","25888495","","","07/14/2014","(1) DHS-OIG report pertaining to a ""hands off list,"" and (2) all communications to or from former Acting Inspector General Charles Edwards from May 31, 2013 to May 31, 2014 regarding the report"
"2014","144.0","","","","","25888495","","","07/15/2014","Certain records pertaining to the ICE and DHS detention bed mandate."
"2014","145.0","","","Partial Grant","","25888495","","","07/22/2014","records pertaining to self"
"2014","146.0","","","Partial Grant","","25888495","","","07/22/2014","records pertaining to specified investigation"
"2014","147.0","","","Total Grant","","25888495","","","07/28/2014","Reports related to ""age determination practices"" used by ICE agents."
"2014","148.0","","","Partial Grant","","25888495","","","07/31/2014","records pertaining to self"
"2014","149.0","","","","","25888495","","","08/01/2014","all photos reviewed or taken by OIG in the research/investigating for report on oversight of unaccompanied alien children"
"2014","150.0","","","Other Reason for Nondisclosure","No records","25888495","","","08/04/2014","Records pertaining to self and ""Operation Lie Busters"""
"2014","151.0","","","Not a Perfected Request","","25888495","","","08/04/2014","Records on a third party"
"2014","152.0","","","Not a Perfected Request","","25888495","","","08/04/2014","Records on two third parties."
"2014","153.0","","","Not a Perfected Request","","25888495","","","08/04/2014","Records on two third parties"
"2014","154.0","","","Not a Perfected Request","","25888495","","","08/05/2014","Records on two third parties."
"2014","155.0","","","","","25888495","","","08/05/2014","Records related to the decision making process and policies of locations of where illegal immigrants entering the US would be transported, relocated or settled."
"2014","156.0","","","","","25888495","","","08/07/2014","Documents related to U.S. Border Patrol’s checkpoint operations and roving patrol operations."
"2014","157.0","","","","","25888495","","","08/11/2014","status of complaint"
"2014","158.0","","","Total Grant","","25888495","","","08/12/2014","Records related to cell phone tracking system known as ""Stingray"" or IMSI Catcher."
"2014","159.0","","","Partial Grant","","25888495","","","08/12/2014","The results of a specific complaint."
"2014","160.0","","","Partial Grant","","25888495","","","08/14/2014","records pertaining to self"
"2014","161.0","","","Other Reason for Nondisclosure","No records","25888495","","","08/18/2014","records pertaining to self"
"2014","162.0","","","","","25888495","","","08/18/2014","completed checklists for Rio Grande Valley Sector facilities visited for report on oversight of unaccompanied alien children"
"2014","163.0","","","Partial Grant","","25888495","","","08/18/2014","copies of specified prior FOIA requests"
"2014","164.0","","","Other Reason for Nondisclosure","No records","25888495","","","08/21/2014","Final report pertaining to DHS-OIG’s review of activities within DHS Protective Security Coordination Division."
"2014","165.0","","","Other Reason for Nondisclosure","Not an agency record","25888495","","","08/21/2014","procedure for unarmed U.S. civilians to retaliate against armed organized pseudo-military"
"2014","166.0","","","Other Reason for Nondisclosure","No records","25888495","","","08/25/2014","records pertaining to self"
"2014","167.0","","","","","25888495","","","09/02/2014","records pertaining to self"
"2014","168.0","","","","","25888495","","","09/03/2014","records pertaining to self"
"2014","169.0","","","Partial Grant","","25888495","","","09/03/2014","records pertaining to self"
"2014","170.0","","","","","25888495","","","09/09/2014","ROI concerning a third party"
"2014","171.0","","","Other Reason for Nondisclosure","No records","25888495","","","09/12/2014","1. Records concerning the protests in Ferguson, MO over the death of Michael Brown Jr. 2. records regarding federal programs of equipping state and local law enforcement, from August 9, 2014 to present."
"2014","172.0","","","","","25888495","","","09/15/2014","Records pertaining to self."
"2014","173.0","","","Other Reason for Nondisclosure","No records","25888495","","","09/16/2014","records pertaining to self"
"2014","174.0","","","","","25888495","","","09/16/2014","all records pertaining to the July 7, 2014 incident during which CBP detained Iowa Boy Scouts and their leaders at a U.S.-Canada border checkpoint in the Yukon-Alaska border area"
"2014","175.0","","","","","25888495","","","09/18/2014","Records pertaining to self"
"2014","176.0","","","","","25888495","","","09/22/2014","A copy of the concluding document (report of investigation, final report, closing memo, referral letter) concerning investigations closed in calendar year 2013 and 2014 concerning misconduct, actual or alleged."
"2014","177.0","","","","","25888495","","","09/22/2014","records pertaining to self"
"2014","178.0","","","","","25888495","","","09/23/2014","Records pertaining to results of complaints."
"2014","179.0","","","","","25888495","","","09/24/2014","records pertaining to self"
"2014","180.0","","","","","25888495","","","09/24/2014","records pertaining to client"
"2014","181.0","","","","","25888495","","","09/25/2014","1: FOIA logs for 2010-2012 and 2: master index of all press releases 2005 to present."
"2014","182.0","","","","","25888495","","","09/29/2014","Documents pertaining to: The Geo Group, Community Education Centers, Community First Services, Corrections Corporation of America, and other named lobbying groups and individuals."
"2014","183.0","","","","","25888495","","","09/29/2014","Report of Inquiry dated Sept 5, 2014 authored by Office of Management personnel."
"2014","184.0","","","","","25888495","","","09/30/2014","DHS OIG Report of Inquiry dated September 5, 2014"
"2014","","","Records pertaining to self.","","","25887743","46.0","01/02/2014","",""
"2014","","","Records pertaining to deceased third party.","Partial Grant","","25887743","47.0","01/02/2014","",""
"2014","","","Records pertaining to self.","Partial Grant","","25887743","48.0","01/06/2014","",""
"2014","","","Copy of the key, manual, guide or training documents that detail the \nentry of investigations into the OIG investigative database.","","","25887743","49.0","01/06/2014","",""
"2014","","","The Report of Investigation into Racial Profiling at Boston Logan \nAirport.","Partial Grant","","25887743","50.0","01/08/2014","",""
"2014","","","The distribution list, including email or mailing addresses, pertaining \nto Audit Report DD-13-11.","Partial Grant","","25887743","51.0","01/08/2014","",""
"2014","","","(1) The payment of any bonuses (commissions, incentives, awards, \netc.) to all DHS OIG employees (former or current) for FY2011, \nFY2012, FY2013 and FY2014 YTD at the DHS OIG, (2) the \nindividualized breakdown of such payments; and (3) the funding \nsources for such payments.","","","25887743","52.0","01/09/2014","",""
"2014","","","Access to and copies of all Configuration Baseline Compliance \nUpdates created for or by the DHS Desktop Working Group.","Total Grant","","25887743","53.0","01/13/2014","",""
"2014","","","Copy of e-mails in the DHS-OIG FOIA office that contain the \nrequester's last name","","","25887743","54.0","01/22/2014","",""
"2014","","","All investigative records pertaining to requester's client","","","25887743","55.0","01/27/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25887743","56.0","01/28/2014","",""
"2014","","","Records pertaining to Coast Guard sexual assault reporting.","","","25887743","57.0","01/28/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25887743","58.0","02/06/2014","",""
"2014","","","Records pertaining to specified DOE-OIG investigations","","","25887743","59.0","02/06/2014","",""
"2014","","","Records pertaining to self","","","25887743","60.0","02/06/2014","",""
"2014","","","E-mail/BlackBerry/SMS text messages sent to/from the USCIS \nDirector containing specified names","Total Grant","","25887743","61.0","02/10/2014","",""
"2014","","","Records pertaining to self","","","25887743","62.0","02/10/2014","",""
"2014","","","Complete ROIs for 11-CBP-DRT-00016 and 10-CBP-LAR-00742","Partial Grant","","25887743","63.0","02/10/2014","",""
"2014","","","Records pertaining to third party","Partial Grant","","25887743","64.0","02/18/2014","",""
"2014","","","Records pertaining to self","","","25887743","65.0","02/18/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25887743","66.0","02/18/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25887743","67.0","02/18/2014","",""
"2014","","","Records pertaining to requester's client","","","25887743","68.0","02/20/2014","",""
"2014","","","SIRs and other complaints filed with CRCL reporting death, serious \ninjury or serious illness, or alleging abuse or neglect of a minor while \nin the custody of Border Patrol, from 2003 to present, or however far \nback CRCL’s database goes","","","25887743","69.0","02/21/2014","",""
"2014","","","Complaints filed against FPS and FEMA in September through \nDecember 2008 for the locations of Maxwell AFB and Keesler AFB","Partial Grant","","25887743","70.0","02/21/2014","",""
"2014","","","Investigative records pertaining to third party","","","25887743","71.0","02/21/2014","",""
"2014","","","Records pertaining to self","Other Reason for Nondisclosure","No records","25887743","72.0","02/21/2014","",""
"2014","","","Copies of closed investigation reports for the past two years","","","25887743","73.0","02/24/2014","",""
"2014","","","Correspondence between DHS-OIG and 12 specified Congressional \nmembers, and the Governor of South Carolina","","","25887743","74.0","02/26/2014","",""
"2014","","","Records pertaining to self","","","25887743","75.0","02/26/2014","",""
"2014","","","Records pertaining to self","","","25887743","76.0","02/27/2014","",""
"2014","","","December 2013 DHS Communications Interoperability Plan and any \nadditional notes, memos, or information provided to OIG in response \nto audit report OIG-13-06, “DHS’ Oversight of Interoperable \nCommunications”","","","25887743","77.0","02/27/2014","",""
"2014","","","Records pertaining to self","Partial Grant","","25887743","78.0","02/27/2014","",""
"2014","","","Documents related to the group “Citizens for a Free Kuwait”","Other Reason for Nondisclosure","No records","25887743","79.0","03/04/2014","",""
"2014","","","E-mails in the USCIS-NRC FOIA office containing the requester's \nlast name","Total Grant","","25887743","80.0","03/10/2014","",""
"2014","","","Closed ROIs involving misuse of a government computer from \nJanuary 1, 2012, to date","","","25887743","81.0","03/10/2014","",""
"2014","","","Meeting minutes and agendas for CCIG meetings held between \nJanuary 1, 2006 and present","","","25887743","82.0","03/10/2014","",""
"2014","","","EDS/TTS, webTA, GovTrip, and DHScovery records pertaining to \nseven individuals","","","25887743","83.0","03/11/2014","",""
"2014","","","Investigative records produced by OIG relating to fatal and non-fatal \nshootings by Border Patrol in the U.S.-MX border from 2008 through \n2014","","","25887743","84.0","03/12/2014","",""
"2014","","","Reports submitted to IOB","Other Reason for Nondisclosure","Not an agency record","25887743","85.0","03/12/2014","",""
"2014","","","(1) Number of internal investigations reported to DHS-OIG by NPPD-OSC from October 2011 to present; and (2) number of NPPD-OSC \ninternal investigations resulting in disciplinary actions reported to \nDHS-OIG from October 2011 to present","","","25887743","86.0","03/18/2014","",""
"2014","","","Records pertaining to self","","","25887743","87.0","03/19/2014","",""
"2014","","","Records pertaining to client","","","25887743","88.0","03/19/2014","",""
"2014","","","Investigations of sexual assaults and sexual harassment by agents \nwithin CBP, USCIS, and ICE from 2011 to 2014","","","25887743","89.0","03/19/2014","",""
"2014","","","Records pertaining to self","","","25887743","90.0","03/19/2014","",""
"2014","","","(1) Names of all IT Audits employees from establishment of office to \npresent, as well as IT Audits onboard/separation dates and \nassociated grades of those employees; and (2) names of \nemployees, contractors, and students assigned to eight IT Audits \ndivision directors from March 3, 2001 to present, as well as dates \nand grades of those employees, contractors, and students when \nassigned to/separated from their associated division directors","","","25887743","91.0","03/19/2014","",""
"2014","","","Records pertaining to Silver Sails","Partial Grant","","25887743","92.0","03/25/2014","",""
"2014","","","Records pertaining to conference spending","","","25887743","93.0","03/25/2014","",""
"2014","","","Records pertaining to self","","","25887743","94.0","03/25/2014","",""
"2014","","","Records relating to contract between FEMA and Shaw \nEnvironmental, Inc.","","","25887743","95.0","03/25/2014","",""
"2014","","","Records pertaining to self","","","25887743","96.0","03/28/2014","",""
"2014","","","Database/fiscal/financial records concerning agency’s unsuccessful \npayment attempts made to others for obligations greater than \n$10,000 which have been outstanding for 6 months or longer","","","25887743","97.0","03/28/2014","",""
